"COU","Country","IND","Indicator","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","I_1","Total gross premiums > Total","2007","2007","USD","US Dollar","6","Millions",,,66969.722,,
"AUS","Australia","I_1","Total gross premiums > Total","2008","2008","USD","US Dollar","6","Millions",,,65665.003,,
"AUS","Australia","I_1","Total gross premiums > Total","2009","2009","USD","US Dollar","6","Millions",,,57731.563,,
"AUS","Australia","I_1","Total gross premiums > Total","2010","2010","USD","US Dollar","6","Millions",,,70793.079,,
"AUS","Australia","I_1","Total gross premiums > Total","2011","2011","USD","US Dollar","6","Millions",,,84540.661,,
"AUS","Australia","I_1","Total gross premiums > Total","2012","2012","USD","US Dollar","6","Millions",,,85880.357,,
"AUS","Australia","I_1","Total gross premiums > Total","2013","2013","USD","US Dollar","6","Millions",,,87591.017,,
"AUS","Australia","I_1","Total gross premiums > Total","2014","2014","USD","US Dollar","6","Millions",,,97010.914,,
"AUS","Australia","I_1","Total gross premiums > Total","2015","2015","USD","US Dollar","6","Millions",,,78796.207,,
"AUS","Australia","I_1","Total gross premiums > Total","2016","2016","USD","US Dollar","6","Millions",,,74145.082,,
"AUS","Australia","I_1","Total gross premiums > Total","2017","2017","USD","US Dollar","6","Millions",,,72339.081,,
"AUS","Australia","I_2","Total gross premiums > Life","2007","2007","USD","US Dollar","6","Millions",,,41487.306,,
"AUS","Australia","I_2","Total gross premiums > Life","2008","2008","USD","US Dollar","6","Millions",,,39020.072,,
"AUS","Australia","I_2","Total gross premiums > Life","2009","2009","USD","US Dollar","6","Millions",,,32296.584,,
"AUS","Australia","I_2","Total gross premiums > Life","2010","2010","USD","US Dollar","6","Millions",,,40317.722,,
"AUS","Australia","I_2","Total gross premiums > Life","2011","2011","USD","US Dollar","6","Millions",,,47948.659,,
"AUS","Australia","I_2","Total gross premiums > Life","2012","2012","USD","US Dollar","6","Millions",,,46068.844,,
"AUS","Australia","I_2","Total gross premiums > Life","2013","2013","USD","US Dollar","6","Millions",,,48121.719,,
"AUS","Australia","I_2","Total gross premiums > Life","2014","2014","USD","US Dollar","6","Millions",,,59315.417,,
"AUS","Australia","I_2","Total gross premiums > Life","2015","2015","USD","US Dollar","6","Millions",,,46633.099,,
"AUS","Australia","I_2","Total gross premiums > Life","2016","2016","USD","US Dollar","6","Millions",,,41066.329,,
"AUS","Australia","I_2","Total gross premiums > Life","2017","2017","USD","US Dollar","6","Millions",,,37668.286,,
"AUS","Australia","I_3","Total gross premiums > Non-Life","2007","2007","USD","US Dollar","6","Millions",,,25482.417,,
"AUS","Australia","I_3","Total gross premiums > Non-Life","2008","2008","USD","US Dollar","6","Millions",,,26644.931,,
"AUS","Australia","I_3","Total gross premiums > Non-Life","2009","2009","USD","US Dollar","6","Millions",,,25434.979,,
"AUS","Australia","I_3","Total gross premiums > Non-Life","2010","2010","USD","US Dollar","6","Millions",,,30475.357,,
"AUS","Australia","I_3","Total gross premiums > Non-Life","2011","2011","USD","US Dollar","6","Millions",,,36592.003,,
"AUS","Australia","I_3","Total gross premiums > Non-Life","2012","2012","USD","US Dollar","6","Millions",,,39811.513,,
"AUS","Australia","I_3","Total gross premiums > Non-Life","2013","2013","USD","US Dollar","6","Millions",,,39469.298,,
"AUS","Australia","I_3","Total gross premiums > Non-Life","2014","2014","USD","US Dollar","6","Millions",,,37695.496,,
"AUS","Australia","I_3","Total gross premiums > Non-Life","2015","2015","USD","US Dollar","6","Millions",,,32163.108,,
"AUS","Australia","I_3","Total gross premiums > Non-Life","2016","2016","USD","US Dollar","6","Millions",,,33078.752,,
"AUS","Australia","I_3","Total gross premiums > Non-Life","2017","2017","USD","US Dollar","6","Millions",,,34670.795,,
"AUT","Austria","I_1","Total gross premiums > Total","2007","2007","USD","US Dollar","6","Millions",,,23739.982,,
"AUT","Austria","I_1","Total gross premiums > Total","2008","2008","USD","US Dollar","6","Millions",,,26331.678,,
"AUT","Austria","I_1","Total gross premiums > Total","2013","2013","USD","US Dollar","6","Millions",,,25076.691,,
"AUT","Austria","I_1","Total gross premiums > Total","2014","2014","USD","US Dollar","6","Millions",,,25068.753,,
"AUT","Austria","I_1","Total gross premiums > Total","2015","2015","USD","US Dollar","6","Millions",,,21082.339,,
"AUT","Austria","I_1","Total gross premiums > Total","2016","2016","USD","US Dollar","6","Millions",,,20633.111,,
"AUT","Austria","I_1","Total gross premiums > Total","2017","2017","USD","US Dollar","6","Millions",,,20434.506,,
"AUT","Austria","I_2","Total gross premiums > Life","2007","2007","USD","US Dollar","6","Millions",,,9688.06,,
"AUT","Austria","I_2","Total gross premiums > Life","2008","2008","USD","US Dollar","6","Millions",,,10596.321,,
"AUT","Austria","I_2","Total gross premiums > Life","2013","2013","USD","US Dollar","6","Millions",,,8553.935,,
"AUT","Austria","I_2","Total gross premiums > Life","2014","2014","USD","US Dollar","6","Millions",,,8889.594,,
"AUT","Austria","I_2","Total gross premiums > Life","2015","2015","USD","US Dollar","6","Millions",,,7437.125,,
"AUT","Austria","I_2","Total gross premiums > Life","2016","2016","USD","US Dollar","6","Millions",,,6696.4,,
"AUT","Austria","I_2","Total gross premiums > Life","2017","2017","USD","US Dollar","6","Millions",,,6477.362,,
"AUT","Austria","I_3","Total gross premiums > Non-Life","2007","2007","USD","US Dollar","6","Millions",,,14051.922,,
"AUT","Austria","I_3","Total gross premiums > Non-Life","2008","2008","USD","US Dollar","6","Millions",,,15735.357,,
"AUT","Austria","I_3","Total gross premiums > Non-Life","2013","2013","USD","US Dollar","6","Millions",,,16522.756,,
"AUT","Austria","I_3","Total gross premiums > Non-Life","2014","2014","USD","US Dollar","6","Millions",,,16179.173,,
"AUT","Austria","I_3","Total gross premiums > Non-Life","2015","2015","USD","US Dollar","6","Millions",,,13645.215,,
"AUT","Austria","I_3","Total gross premiums > Non-Life","2016","2016","USD","US Dollar","6","Millions",,,13936.711,,
"AUT","Austria","I_3","Total gross premiums > Non-Life","2017","2017","USD","US Dollar","6","Millions",,,13957.144,,
"BEL","Belgium","I_1","Total gross premiums > Total","2007","2007","USD","US Dollar","6","Millions",,,42999.299,,
"BEL","Belgium","I_1","Total gross premiums > Total","2008","2008","USD","US Dollar","6","Millions",,,42808.368,,
"BEL","Belgium","I_1","Total gross premiums > Total","2009","2009","USD","US Dollar","6","Millions",,,39575.276,,
"BEL","Belgium","I_1","Total gross premiums > Total","2010","2010","USD","US Dollar","6","Millions",,,39170.443,,
"BEL","Belgium","I_1","Total gross premiums > Total","2011","2011","USD","US Dollar","6","Millions",,,40818.202,,
"BEL","Belgium","I_1","Total gross premiums > Total","2012","2012","USD","US Dollar","6","Millions",,,41938.04,,
"BEL","Belgium","I_1","Total gross premiums > Total","2013","2013","USD","US Dollar","6","Millions",,,37510.283,,
"BEL","Belgium","I_1","Total gross premiums > Total","2014","2014","USD","US Dollar","6","Millions",,,38293.578,,
"BEL","Belgium","I_1","Total gross premiums > Total","2015","2015","USD","US Dollar","6","Millions",,,30734.013,,
"BEL","Belgium","I_1","Total gross premiums > Total","2016","2016","USD","US Dollar","6","Millions",,,30411.168,,
"BEL","Belgium","I_1","Total gross premiums > Total","2017","2017","USD","US Dollar","6","Millions",,,30762.885,,
"BEL","Belgium","I_2","Total gross premiums > Life","2007","2007","USD","US Dollar","6","Millions",,,30355.135,,
"BEL","Belgium","I_2","Total gross premiums > Life","2008","2008","USD","US Dollar","6","Millions",,,28546.67,,
"BEL","Belgium","I_2","Total gross premiums > Life","2009","2009","USD","US Dollar","6","Millions",,,25648.636,,
"BEL","Belgium","I_2","Total gross premiums > Life","2010","2010","USD","US Dollar","6","Millions",,,25465.179,,
"BEL","Belgium","I_2","Total gross premiums > Life","2011","2011","USD","US Dollar","6","Millions",,,25794.888,,
"BEL","Belgium","I_2","Total gross premiums > Life","2012","2012","USD","US Dollar","6","Millions",,,27141.503,,
"BEL","Belgium","I_2","Total gross premiums > Life","2013","2013","USD","US Dollar","6","Millions",,,21645.268,,
"BEL","Belgium","I_2","Total gross premiums > Life","2014","2014","USD","US Dollar","6","Millions",,,21635.116,,
"BEL","Belgium","I_2","Total gross premiums > Life","2015","2015","USD","US Dollar","6","Millions",,,17038.174,,
"BEL","Belgium","I_2","Total gross premiums > Life","2016","2016","USD","US Dollar","6","Millions",,,16549.2,,
"BEL","Belgium","I_2","Total gross premiums > Life","2017","2017","USD","US Dollar","6","Millions",,,16505.946,,
"BEL","Belgium","I_3","Total gross premiums > Non-Life","2007","2007","USD","US Dollar","6","Millions",,,12644.163,,
"BEL","Belgium","I_3","Total gross premiums > Non-Life","2008","2008","USD","US Dollar","6","Millions",,,14261.697,,
"BEL","Belgium","I_3","Total gross premiums > Non-Life","2009","2009","USD","US Dollar","6","Millions",,,13926.641,,
"BEL","Belgium","I_3","Total gross premiums > Non-Life","2010","2010","USD","US Dollar","6","Millions",,,13705.264,,
"BEL","Belgium","I_3","Total gross premiums > Non-Life","2011","2011","USD","US Dollar","6","Millions",,,15023.314,,
"BEL","Belgium","I_3","Total gross premiums > Non-Life","2012","2012","USD","US Dollar","6","Millions",,,14796.536,,
"BEL","Belgium","I_3","Total gross premiums > Non-Life","2013","2013","USD","US Dollar","6","Millions",,,15865.009,,
"BEL","Belgium","I_3","Total gross premiums > Non-Life","2014","2014","USD","US Dollar","6","Millions",,,16658.465,,
"BEL","Belgium","I_3","Total gross premiums > Non-Life","2015","2015","USD","US Dollar","6","Millions",,,13695.831,,
"BEL","Belgium","I_3","Total gross premiums > Non-Life","2016","2016","USD","US Dollar","6","Millions",,,13861.967,,
"BEL","Belgium","I_3","Total gross premiums > Non-Life","2017","2017","USD","US Dollar","6","Millions",,,14256.939,,
"CAN","Canada","I_1","Total gross premiums > Total","2007","2007","USD","US Dollar","6","Millions",,,136087.993,,
"CAN","Canada","I_1","Total gross premiums > Total","2008","2008","USD","US Dollar","6","Millions",,,113708.952,,
"CAN","Canada","I_1","Total gross premiums > Total","2009","2009","USD","US Dollar","6","Millions",,,75423.868,,
"CAN","Canada","I_1","Total gross premiums > Total","2010","2010","USD","US Dollar","6","Millions",,,85752.059,,
"CAN","Canada","I_1","Total gross premiums > Total","2011","2011","USD","US Dollar","6","Millions",,,93998.268,,
"CAN","Canada","I_1","Total gross premiums > Total","2012","2012","USD","US Dollar","6","Millions",,,97036.962,,
"CAN","Canada","I_1","Total gross premiums > Total","2013","2013","USD","US Dollar","6","Millions",,,98545.026,,
"CAN","Canada","I_1","Total gross premiums > Total","2014","2014","USD","US Dollar","6","Millions",,,93075.047,,
"CAN","Canada","I_1","Total gross premiums > Total","2015","2015","USD","US Dollar","6","Millions",,,83591.478,,
"CAN","Canada","I_2","Total gross premiums > Life","2007","2007","USD","US Dollar","6","Millions",,,62581.745,,
"CAN","Canada","I_2","Total gross premiums > Life","2008","2008","USD","US Dollar","6","Millions",,,38556.193,,
"CAN","Canada","I_2","Total gross premiums > Life","2009","2009","USD","US Dollar","6","Millions",,,26842.764,,
"CAN","Canada","I_2","Total gross premiums > Life","2010","2010","USD","US Dollar","6","Millions",,,30491.049,,
"CAN","Canada","I_2","Total gross premiums > Life","2011","2011","USD","US Dollar","6","Millions",,,32005.148,,
"CAN","Canada","I_2","Total gross premiums > Life","2012","2012","USD","US Dollar","6","Millions",,,31148.079,,
"CAN","Canada","I_2","Total gross premiums > Life","2013","2013","USD","US Dollar","6","Millions",,,32389.718,,
"CAN","Canada","I_2","Total gross premiums > Life","2014","2014","USD","US Dollar","6","Millions",,,26679.195,,
"CAN","Canada","I_2","Total gross premiums > Life","2015","2015","USD","US Dollar","6","Millions",,,23995.554,,
"CAN","Canada","I_3","Total gross premiums > Non-Life","2007","2007","USD","US Dollar","6","Millions",,,73506.248,,
"CAN","Canada","I_3","Total gross premiums > Non-Life","2008","2008","USD","US Dollar","6","Millions",,,75152.759,,
"CAN","Canada","I_3","Total gross premiums > Non-Life","2009","2009","USD","US Dollar","6","Millions",,,48581.105,,
"CAN","Canada","I_3","Total gross premiums > Non-Life","2010","2010","USD","US Dollar","6","Millions",,,55261.01,,
"CAN","Canada","I_3","Total gross premiums > Non-Life","2011","2011","USD","US Dollar","6","Millions",,,61993.12,,
"CAN","Canada","I_3","Total gross premiums > Non-Life","2012","2012","USD","US Dollar","6","Millions",,,65888.883,,
"CAN","Canada","I_3","Total gross premiums > Non-Life","2013","2013","USD","US Dollar","6","Millions",,,66155.309,,
"CAN","Canada","I_3","Total gross premiums > Non-Life","2014","2014","USD","US Dollar","6","Millions",,,66395.852,,
"CAN","Canada","I_3","Total gross premiums > Non-Life","2015","2015","USD","US Dollar","6","Millions",,,59595.925,,
"CZE","Czech Republic","I_1","Total gross premiums > Total","2007","2007","USD","US Dollar","6","Millions",,,6548.891,,
"CZE","Czech Republic","I_1","Total gross premiums > Total","2008","2008","USD","US Dollar","6","Millions",,,8191.385,,
"CZE","Czech Republic","I_1","Total gross premiums > Total","2009","2009","USD","US Dollar","6","Millions",,,7562.121,,
"CZE","Czech Republic","I_1","Total gross premiums > Total","2010","2010","USD","US Dollar","6","Millions",,,8167.31,,
"CZE","Czech Republic","I_1","Total gross premiums > Total","2011","2011","USD","US Dollar","6","Millions",,,8764.299,,
"CZE","Czech Republic","I_1","Total gross premiums > Total","2012","2012","USD","US Dollar","6","Millions",,,7845.612,,
